City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
552,Puerto Baquerizo Moreno,EC,80.6,light rain,-0.9,-89.6,Hotel los Algarrobos
555,Bambanglipuro,ID,76.33,few clouds,-7.95,110.2833,Puri Brata
558,Les Cayes,HT,82.63,clear sky,18.2,-73.75,Villa Orphee
563,Harper,LR,80.01,overcast clouds,4.375,-7.7169,Screensaver
564,Capilla De Guadalupe,MX,84.85,clear sky,20.8333,-102.5833,Hotel Estancia Real
565,Cangucu,BR,78.8,broken clouds,-31.395,-52.6756,Casa Paulista
568,Luganville,VU,78.1,moderate rain,-15.5333,167.1667,The Espiritu Hotel
569,Barra Do Garcas,BR,77.0,moderate rain,-15.89,-52.2567,Hotel Pousada Tropical
578,Finschhafen,PG,78.17,heavy intensity rain,-6.6024,147.8681,Cossam Guest House
582,Waingapu,ID,76.82,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
585,Torit,SS,88.32,clear sky,4.4133,32.5678,Diplomat Guest House
587,Mitsamiouli,KM,82.18,overcast clouds,-11.3847,43.2844,Foyer ADM
589,Itarema,BR,84.02,light rain,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
592,Axim,GH,80.94,light rain,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
598,Manicore,BR,87.62,broken clouds,-5.8092,-61.3003,Hotel Durval
600,Barra Da Estiva,BR,84.96,overcast clouds,-13.6261,-41.3269,Pousada Central
607,Kankan,GN,87.58,overcast clouds,10.3854,-9.3057,Hotel Bate
609,Port Moresby,PG,75.2,scattered clouds,-9.4431,147.1797,Lamana Hotel
610,Krabi,TH,75.2,few clouds,8.0726,98.9105,Tharapark View Hotel
612,Malanville,BJ,88.95,overcast clouds,11.8685,3.3899,DEVO HOTEL
637,Honiara,SB,77.68,overcast clouds,-9.4333,159.95,Heritage Park Hotel
638,Bairiki,KI,78.8,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
639,Mana,GF,82.62,overcast clouds,5.6592,-53.7767,LE SAMANA
644,Cockburn Town,TC,80.6,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
645,Ayorou,NE,88.48,broken clouds,14.7308,0.9174,Hotel Amenokal
648,Salta,AR,82.4,scattered clouds,-24.7859,-65.4117,Hotel Alejandro I
652,Eyl,SO,75.02,clear sky,7.9803,49.8164,Amiin Hotel
653,Semporna,MY,75.2,few clouds,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
654,San-Pedro,CI,79.74,overcast clouds,4.7485,-6.6363,Hotel Maria
656,Bintulu,MY,78.8,light rain,3.1667,113.0333,900 Boutique INN
662,Ferkessedougou,CI,78.57,moderate rain,9.6,-5.2,Hotel Chateau
669,Malpe,IN,80.6,few clouds,13.35,74.7167,Hotel Sri Krishna Residency
679,Miranda,CO,82.4,scattered clouds,3.2499,-76.2281,unidiversidad organica la utopia
680,Kimbe,PG,75.69,light rain,-5.5502,150.1429,Kimbe Bay Hotel
682,Santa Rosa,PH,78.01,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
686,Guiratinga,BR,81.99,scattered clouds,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
687,Paoua,CF,81.28,broken clouds,7.2427,16.4406,Quartier Paoua Elien
