City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
222,Hasaki,JP,35.7333,140.8333,43.0,56,75,18.41,broken clouds
223,Kodinsk,RU,58.6881,99.1844,24.55,97,100,10.4,light snow
224,Kutum,SD,14.2,24.6667,68.95,21,0,12.71,clear sky
225,Verkhnevilyuysk,RU,63.4453,120.3167,-3.69,92,94,2.26,overcast clouds
226,Lanzhou,CN,36.0564,103.7922,37.99,44,80,2.35,broken clouds
227,Balkhash,KZ,46.844,74.9804,18.46,94,100,10.8,overcast clouds
228,Narsaq,GL,60.9167,-46.05,44.6,39,75,9.22,light rain
229,Upernavik,GL,72.7868,-56.1549,-9.99,89,100,10.04,light snow
230,Oussouye,SN,12.485,-16.5469,95.0,73,0,6.91,clear sky
231,Najran,SA,17.4924,44.1277,71.6,26,0,3.85,dust
232,Waipawa,NZ,-41.4122,175.5153,59.0,82,20,9.22,few clouds
233,Sao Felix Do Xingu,BR,-6.6447,-51.995,75.67,89,100,2.51,heavy intensity rain
234,Nanortalik,GL,60.1432,-45.2371,36.46,82,100,11.9,overcast clouds
235,Sol-Iletsk,RU,51.1631,54.9918,24.49,98,100,8.99,light snow
236,Camacha,PT,33.0833,-16.3333,60.8,72,40,20.71,scattered clouds
237,Vama,RO,47.5667,25.6833,30.99,72,67,1.01,broken clouds
238,Ilulissat,GL,69.2167,-51.1,21.2,93,90,6.91,overcast clouds
239,Lompoc,US,34.6391,-120.4579,57.2,72,90,12.66,overcast clouds
240,San Cristobal,VE,7.7669,-72.225,78.8,78,75,6.91,fog
241,Shaunavon,CA,49.6501,-108.4181,35.6,75,89,13.8,overcast clouds
242,Borogontsy,RU,62.6683,131.1683,-32.44,84,0,3.13,clear sky
243,Weiser,US,44.251,-116.9693,50.0,50,90,9.22,overcast clouds
244,Te Anau,NZ,-45.4167,167.7167,42.24,86,30,0.83,scattered clouds
245,Saint-Philippe,RE,-21.3585,55.7679,78.8,78,90,4.61,overcast clouds
246,Weligama,LK,5.9667,80.4167,76.1,82,38,3.74,scattered clouds
247,Richards Bay,ZA,-28.783,32.0377,73.49,74,100,4.38,overcast clouds
248,Ismailia,EG,30.6043,32.2723,59.88,67,0,10.96,clear sky
249,Dwarka,IN,22.2394,68.9678,75.4,81,0,9.28,clear sky
250,Kota Belud,MY,6.351,116.4305,75.2,94,20,3.44,few clouds
251,Priargunsk,RU,50.3691,119.1012,-4.29,90,9,3.36,clear sky
252,Linkoping,SE,58.4109,15.6216,41.0,56,100,21.85,overcast clouds
253,Novikovo,RU,51.1537,37.8879,23.63,91,0,8.12,clear sky
254,Presidente Dutra,BR,-5.29,-44.49,83.79,88,85,4.63,overcast clouds
255,Muisne,EC,0.6,-80.0333,84.2,84,20,8.05,few clouds
256,Cherskiy,RU,68.75,161.3,-14.67,89,100,4.92,overcast clouds
257,Tabuk,PH,17.4189,121.4443,69.31,79,0,2.35,clear sky
258,Okhotsk,RU,59.3833,143.3,-19.68,79,0,16.06,clear sky
259,Xichang,CN,27.8964,102.2634,51.01,53,92,1.81,overcast clouds
260,Polson,US,47.6936,-114.1632,45.0,61,100,4.34,overcast clouds
261,Orlik,RU,52.5178,99.825,6.08,82,100,2.28,overcast clouds
262,Airai,TL,-8.9266,125.4092,59.65,100,100,0.81,overcast clouds
263,Quelimane,MZ,-17.8786,36.8883,82.4,74,40,5.75,scattered clouds
264,Alvarado,MX,18.7667,-95.7667,82.99,54,40,13.8,scattered clouds
265,Hiriyur,IN,13.9456,76.6192,77.5,20,0,6.17,clear sky
266,Maceio,BR,-9.6658,-35.7353,84.2,70,75,12.66,broken clouds
267,Severo-Kurilsk,RU,50.6789,156.125,14.68,91,85,29.84,light snow
268,Sept-Iles,CA,50.2001,-66.3821,28.99,63,90,6.91,light snow
