City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
190,Fare,PF,3/2/21 22:56,-16.7,-151.0167,82.83,73,69,3.69
191,Bubaque,GW,3/2/21 22:56,11.2833,-15.8333,78.37,63,25,12.66
192,Leningradskiy,RU,3/2/21 22:56,69.3833,178.4167,-20.51,84,85,6.51
193,Rehoboth,NA,3/2/21 22:56,-23.3167,17.0833,75.36,43,37,8.28
194,Ambanja,MG,3/2/21 22:56,-13.6833,48.45,75.15,84,64,3.62
195,Orlik,RU,3/2/21 22:56,52.5178,99.825,2.7,85,69,3.04
196,Borgarnes,IS,3/2/21 22:56,64.5383,-21.9206,37.99,91,100,8.01
197,Lobva,RU,3/2/21 22:56,59.1854,60.5185,10.45,94,94,8.37
198,Soc Trang,VN,3/2/21 22:56,9.6033,105.98,77,94,20,9.22
199,Tanabe,JP,3/2/21 22:56,33.7333,135.3667,39.2,60,20,13.8
200,Livingston,GB,3/2/21 22:56,55.9029,-3.5226,35.6,93,90,3.44
201,Half Moon Bay,US,3/2/21 22:53,37.4636,-122.4286,64.4,67,1,6.91
202,Matara,LK,3/2/21 22:56,5.9485,80.5353,72.63,80,17,11.01
203,Ivanteyevka,RU,3/2/21 22:56,55.9711,37.9208,33.8,64,40,15.66
204,Berlevag,NO,3/2/21 22:53,70.8578,29.0864,30.2,59,75,18.41
205,Bonfim,BR,3/2/21 22:56,3.0833,-59.95,83.41,41,58,6.13
206,Egvekinot,RU,3/2/21 22:56,66.3167,-179.1667,-14.46,84,1,8.12
207,Geraldton,AU,3/2/21 22:56,-28.7667,114.6,71.6,78,75,9.22
208,Wattegama,LK,3/2/21 22:56,6.7989,81.4808,71.6,94,20,2.3
209,Isangel,VU,3/2/21 22:56,-19.55,169.2667,86,70,20,3.44
210,Port Elizabeth,ZA,3/2/21 22:56,-33.918,25.5701,69.8,88,0,2.3
211,Esperance,AU,3/2/21 22:53,-33.8667,121.9,64.4,82,90,10.36
212,Sao Miguel Do Araguaia,BR,3/2/21 22:56,-13.275,-50.1628,72.34,97,100,1.63
213,Tautira,PF,3/2/21 22:56,-17.7333,-149.15,89.6,66,75,9.22
214,Olavarria,AR,3/2/21 22:56,-36.8927,-60.3225,82,50,63,3
215,Maniitsoq,GL,3/2/21 22:56,65.4167,-52.9,25.02,79,100,10.47
216,Bandarbeyla,SO,3/2/21 22:56,9.4942,50.8122,77.56,73,64,15.3
217,Manzanillo,CU,3/2/21 22:56,20.3433,-77.1167,81.19,59,6,6.49
218,West Wendover,US,3/2/21 22:55,40.7391,-114.0733,46.4,27,1,5.75
219,Ilulissat,GL,3/2/21 22:56,69.2167,-51.1,26.6,43,20,17.27
220,Tual,ID,3/2/21 22:56,-5.6667,132.75,82.67,77,100,15.5
221,Anadyr,RU,3/2/21 22:52,64.75,177.4833,-18,69,0,11.18
222,Kutum,SD,3/2/21 22:54,14.2,24.6667,57.36,30,0,9.93
223,Rafai,CF,3/2/21 22:56,4.95,23.9167,75.15,25,71,4.72
224,Kangaatsiaq,GL,3/2/21 22:53,68.3065,-53.4641,17.56,84,100,6.2
225,Innisfail,AU,3/2/21 22:56,-17.5333,146.0333,75.58,92,100,8.99
